id,area,priority,phase,evidence,work,acceptance,effort_risk,dependencies,source_references
M01,Measurement and performance governance,P0,0,S,"Create one versioned workload manifest spanning all 15 crates, native facade, direct WASM, batch, translator and render entry points; reuse the existing gauntlet manifest and scorecard.","Every public operation family has a representative scenario or an explicit coverage gap; pin source, artifact, fixture and harness hashes.",M/low,,https://github.com/esaueng/remus/blob/ca91b956cdde99f78f048dd32b656b559ad14e7d/.github/workflows/fleet-benchmark.yml#L11; https://github.com/esaueng/remus/blob/ca91b956cdde99f78f048dd32b656b559ad14e7d/scripts/bench-compare.sh#L29; https://github.com/esaueng/remus/blob/ca91b956cdde99f78f048dd32b656b559ad14e7d/tools/vs-bench/README.md#L1; https://github.com/esaueng/remus/blob/ca91b956cdde99f78f048dd32b656b559ad14e7d/crates/algo/src/perf.rs#L31
M02,Measurement and performance governance,P0,0,S,"Expand the maintained runner beyond the current selected suites: include IO NURBS properties, compound/fuse, query, transaction, sketch, import/export and session workloads.",One local command regenerates the inventory and results; no suite silently disappears because it is outside operations or requires a feature.,S/low,M01,https://github.com/esaueng/remus/blob/ca91b956cdde99f78f048dd32b656b559ad14e7d/.github/workflows/fleet-benchmark.yml#L11; https://github.com/esaueng/remus/blob/ca91b956cdde99f78f048dd32b656b559ad14e7d/scripts/bench-compare.sh#L29; https://github.com/esaueng/remus/blob/ca91b956cdde99f78f048dd32b656b559ad14e7d/tools/vs-bench/README.md#L1; https://github.com/esaueng/remus/blob/ca91b956cdde99f78f048dd32b656b559ad14e7d/crates/algo/src/perf.rs#L31
M03,Measurement and performance governance,P0,0,S,Turn performance regression policy into an effective gate; the current reusable workflow needs the ci:benchmark PR label and only comments at 200%.,"Calibrate noise on a controlled runner, then block reproducible material regressions on relevant PRs; preserve the untrusted-build/trusted-publisher separation.",M/medium,M02; M06,https://github.com/esaueng/remus/blob/ca91b956cdde99f78f048dd32b656b559ad14e7d/.github/workflows/fleet-benchmark.yml#L11; https://github.com/esaueng/remus/blob/ca91b956cdde99f78f048dd32b656b559ad14e7d/scripts/bench-compare.sh#L29; https://github.com/esaueng/remus/blob/ca91b956cdde99f78f048dd32b656b559ad14e7d/tools/vs-bench/README.md#L1; https://github.com/esaueng/remus/blob/ca91b956cdde99f78f048dd32b656b559ad14e7d/crates/algo/src/perf.rs#L31
M04,Measurement and performance governance,P0,0,H,"Add scoped timings and deterministic work counters for snapshot bytes, candidate pairs, projections, BVH builds, quadrature, CDT fallback scans, serialization and copies.",Counters attribute growth and phase time without changing release behavior; measure instrumentation overhead and keep timing assertions out of ordinary tests.,M/low,M01,https://github.com/esaueng/remus/blob/ca91b956cdde99f78f048dd32b656b559ad14e7d/.github/workflows/fleet-benchmark.yml#L11; https://github.com/esaueng/remus/blob/ca91b956cdde99f78f048dd32b656b559ad14e7d/scripts/bench-compare.sh#L29; https://github.com/esaueng/remus/blob/ca91b956cdde99f78f048dd32b656b559ad14e7d/tools/vs-bench/README.md#L1; https://github.com/esaueng/remus/blob/ca91b956cdde99f78f048dd32b656b559ad14e7d/crates/algo/src/perf.rs#L31
M05,Measurement and performance governance,P0,0,H,"Record native allocation count, allocated bytes, peak live bytes, RSS, arena live/retired slots, checkpoint retention and WASM memory high-water marks.",Run create/edit/fail/undo/delete cycles at fixed live model size; distinguish live heap from allocator capacity and linear-memory reservation.,M/low,M01,https://github.com/esaueng/remus/blob/ca91b956cdde99f78f048dd32b656b559ad14e7d/.github/workflows/fleet-benchmark.yml#L11; https://github.com/esaueng/remus/blob/ca91b956cdde99f78f048dd32b656b559ad14e7d/scripts/bench-compare.sh#L29; https://github.com/esaueng/remus/blob/ca91b956cdde99f78f048dd32b656b559ad14e7d/tools/vs-bench/README.md#L1; https://github.com/esaueng/remus/blob/ca91b956cdde99f78f048dd32b656b559ad14e7d/crates/algo/src/perf.rs#L31
M06,Measurement and performance governance,P0,0,S,"Fix benchmark methodology: separate setup, warmup, operation, validation and teardown; replace minimum-only reporting in batch_profile with raw samples and median/tail analysis.",Use independent processes and paired baseline/candidate runs; enough samples for meaningful p95/p99; do not include untimed fixture construction in a named-operation CPU profile.,S/low,M01,https://github.com/esaueng/remus/blob/ca91b956cdde99f78f048dd32b656b559ad14e7d/.github/workflows/fleet-benchmark.yml#L11; https://github.com/esaueng/remus/blob/ca91b956cdde99f78f048dd32b656b559ad14e7d/scripts/bench-compare.sh#L29; https://github.com/esaueng/remus/blob/ca91b956cdde99f78f048dd32b656b559ad14e7d/tools/vs-bench/README.md#L1; https://github.com/esaueng/remus/blob/ca91b956cdde99f78f048dd32b656b559ad14e7d/crates/algo/src/perf.rs#L31
M07,Measurement and performance governance,P0,0,H,"Profile representative real models and adversarial scaling, including large imported NURBS, hollow solids, tangencies, dense contacts, many disconnected bodies and large coordinate translations.",Archive sampled CPU profiles and allocation profiles; qualify exact success/refusal separately from approximate success and error.,M/low,M02; M04; M05; M06,https://github.com/esaueng/remus/blob/ca91b956cdde99f78f048dd32b656b559ad14e7d/.github/workflows/fleet-benchmark.yml#L11; https://github.com/esaueng/remus/blob/ca91b956cdde99f78f048dd32b656b559ad14e7d/scripts/bench-compare.sh#L29; https://github.com/esaueng/remus/blob/ca91b956cdde99f78f048dd32b656b559ad14e7d/tools/vs-bench/README.md#L1; https://github.com/esaueng/remus/blob/ca91b956cdde99f78f048dd32b656b559ad14e7d/crates/algo/src/perf.rs#L31
M08,Measurement and performance governance,P0,0,H,"Measure complete user workflows: import to visible mesh, repeated selection/measurement, sketch drag, direct face edit, save/restore and export.","Report cold and warm latency, p95, memory and quality per stage; include the consumer/worker boundary in addition to native kernel time.",M/low,M01; M06,https://github.com/esaueng/remus/blob/ca91b956cdde99f78f048dd32b656b559ad14e7d/.github/workflows/fleet-benchmark.yml#L11; https://github.com/esaueng/remus/blob/ca91b956cdde99f78f048dd32b656b559ad14e7d/scripts/bench-compare.sh#L29; https://github.com/esaueng/remus/blob/ca91b956cdde99f78f048dd32b656b559ad14e7d/tools/vs-bench/README.md#L1; https://github.com/esaueng/remus/blob/ca91b956cdde99f78f048dd32b656b559ad14e7d/crates/algo/src/perf.rs#L31
M09,Measurement and performance governance,P1,8,S,Finish real competitor runners and scenario pins in vs-bench; the current fixture is synthetic protocol coverage and bench-compare.sh is native-only.,"Compare identical units, tolerances, representation, validation obligations and outcomes; publish failures and refusals alongside timing and reproducible commands.",L/medium,M01; M06; M07; M08,https://github.com/esaueng/remus/blob/ca91b956cdde99f78f048dd32b656b559ad14e7d/.github/workflows/fleet-benchmark.yml#L11; https://github.com/esaueng/remus/blob/ca91b956cdde99f78f048dd32b656b559ad14e7d/scripts/bench-compare.sh#L29; https://github.com/esaueng/remus/blob/ca91b956cdde99f78f048dd32b656b559ad14e7d/tools/vs-bench/README.md#L1; https://github.com/esaueng/remus/blob/ca91b956cdde99f78f048dd32b656b559ad14e7d/crates/algo/src/perf.rs#L31
M10,Measurement and performance governance,P1,0,S,"Reconcile profiling instructions, command aliases and roadmap status with executable code.","Record O3.1 complete, native tessellation partially parallel, SIMD flags enabled, comparison harness retired, and current benchmark PR activation; retain remaining qualification gates.",S/low,M01,https://github.com/esaueng/remus/blob/ca91b956cdde99f78f048dd32b656b559ad14e7d/.github/workflows/fleet-benchmark.yml#L11; https://github.com/esaueng/remus/blob/ca91b956cdde99f78f048dd32b656b559ad14e7d/scripts/bench-compare.sh#L29; https://github.com/esaueng/remus/blob/ca91b956cdde99f78f048dd32b656b559ad14e7d/tools/vs-bench/README.md#L1; https://github.com/esaueng/remus/blob/ca91b956cdde99f78f048dd32b656b559ad14e7d/crates/algo/src/perf.rs#L31
